Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime
28701,IN-2014-35983,2014-05-01,2014-05-01,Same Day,SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,APAC,Central Asia,TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White",2174.13,7,0.0,500.01,637.86,Critical,0
25941,IN-2014-27947,2014-04-30,2014-05-04,Standard Class,BS-11800,Bryan Spruell,Home Office,Kendari,Sulawesi Tenggara,Indonesia,,APAC,Southeast Asia,OFF-AP-10000136,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",4135.641,10,0.17,847.041,348.08,Medium,4
28702,IN-2014-35983,2014-05-01,2014-05-01,Same Day,SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,APAC,Central Asia,FUR-CH-10000994,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",723.3,5,0.0,122.85,286.01,Critical,0
39533,CA-2014-102204,2014-05-02,2014-05-07,Standard Class,CJ-12010,Caroline Jumper,Consumer,Jacksonville,Florida,United States,32216.0,US,South,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0.0,246.07,Medium,5
21038,IN-2014-40421,2014-05-01,2014-05-04,First Class,SB-20170,Sarah Bern,Consumer,Brisbane,Queensland,Australia,,APAC,Oceania,TEC-CO-10001630,Technology,Copiers,"Canon Personal Copier, Digital",512.568,4,0.1,193.608,188.92,High,3
15646,ES-2014-2323716,2014-04-28,2014-05-03,Standard Class,SE-20110,Sanjit Engle,Consumer,Sesto San Giovanni,Lombardy,Italy,,EU,South,FUR-BO-10001039,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",1232.28,3,0.0,529.83,185.6,High,5
50968,SF-2014-5680,2014-04-28,2014-05-04,Standard Class,JH-5910,Jonathan Howell,Consumer,Johannesburg,Gauteng,South Africa,,Africa,Africa,FUR-SAF-10002180,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",1845.72,4,0.0,18.36,178.56,Medium,6
14584,ES-2014-4710352,2014-04-28,2014-04-30,Second Class,KB-16405,Katrina Bavinger,Home Office,Paris,Ile-de-France,France,,EU,Central,TEC-CO-10002174,Technology,Copiers,"HP Copy Machine, Laser",1447.8135,7,0.15,596.0535,157.34,Medium,2
18640,IT-2014-4215027,2014-05-02,2014-05-03,First Class,JF-15355,Jay Fein,Consumer,Libourne,Aquitaine,France,,EU,Central,OFF-ST-10002900,Office Supplies,Storage,"Smead Lockers, Wire Frame",355.482,2,0.1,-3.978,146.12,Critical,1
11435,IT-2014-5786031,2014-05-01,2014-05-06,Second Class,DC-13285,Debra Catini,Consumer,Aubervilliers,Ile-de-France,France,,EU,Central,FUR-TA-10003690,Furniture,Tables,"Hon Computer Table, Fully Assembled",962.7345,3,0.35,-385.1055,139.9,Medium,5
