Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime
29047,IN-2012-66342,2012-05-30,2012-05-31,First Class,SG-20470,Sheri Gordon,Consumer,Bhopal,Madhya Pradesh,India,,APAC,Central Asia,TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color",1526.52,4,0.0,732.72,625.77,Critical,1
29601,IN-2012-48240,2012-05-25,2012-05-28,Second Class,GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,APAC,Central Asia,FUR-TA-10000226,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",1745.34,2,0.0,226.86,616.27,Critical,3
29600,IN-2012-48240,2012-05-25,2012-05-28,Second Class,GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,APAC,Central Asia,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",1916.73,3,0.0,498.33,548.4,Critical,3
31278,IN-2012-86698,2012-05-07,2012-05-07,Same Day,NC-18625,Noah Childs,Corporate,Newcastle,New South Wales,Australia,,APAC,Oceania,FUR-TA-10003627,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",1847.52,2,0.0,738.96,545.89,High,0
39399,CA-2012-149846,2012-05-22,2012-05-26,Standard Class,SB-20185,Sarah Brown,Consumer,Los Angeles,California,United States,90045.0,US,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32,7,0.2,334.4985,510.18,High,4
43395,TU-2012-2690,2012-05-23,2012-05-26,First Class,SF-10200,Sarah Foster,Consumer,Izmir,Izmir,Turkey,,EMEA,EMEA,TEC-SAM-10000345,Technology,Phones,"Samsung Audio Dock, with Caller ID",934.248,14,0.6,-1331.652,363.73,High,3
12983,ES-2012-5967582,2012-05-28,2012-05-31,First Class,CK-12205,Chloris Kastensmidt,Consumer,Barletta,Apulia,Italy,,EU,South,TEC-CO-10001413,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",1513.56,4,0.0,741.6,325.45,Critical,3
3700,US-2012-110436,2012-05-28,2012-05-29,First Class,SL-20155,Sara Luxemburg,Home Office,Coyoacán,Distrito Federal,Mexico,,LATAM,North,FUR-BO-10001356,Furniture,Bookcases,"Ikea Library with Doors, Mobile",585.456,3,0.2,-0.024,304.53,Critical,1
44182,GG-2012-8530,2012-05-11,2012-05-13,Second Class,SG-10470,Sheri Gordon,Consumer,Tbilisi,Tbilisi,Georgia,,EMEA,EMEA,TEC-BRO-10004802,Technology,Copiers,"Brother Fax Machine, High-Speed",1900.44,6,0.0,417.96,303.45,High,2
23419,IN-2012-44278,2012-05-04,2012-05-06,Second Class,NZ-18565,Nick Zandusky,Home Office,Jaipur,Rajasthan,India,,APAC,Central Asia,TEC-CO-10003102,Technology,Copiers,"Canon Copy Machine, Color",2372.22,9,0.0,0.0,302.82,High,2
19814,ES-2012-1691714,2012-05-17,2012-05-21,Standard Class,BP-11230,Benjamin Patterson,Consumer,Barcelona,Catalonia,Spain,,EU,South,OFF-AP-10000584,Office Supplies,Appliances,"Breville Refrigerator, Silver",2080.32,4,0.0,561.6,296.98,High,4
30028,IN-2012-63787,2012-05-23,2012-05-23,Same Day,PM-19135,Peter McVee,Home Office,Ballarat,Victoria,Australia,,APAC,Oceania,FUR-BO-10002736,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",660.69,5,0.1,44.04,296.01,Critical,0
29319,IN-2012-75904,2012-05-10,2012-05-12,First Class,BW-11110,Bart Watters,Corporate,Jhansi,Uttar Pradesh,India,,APAC,Central Asia,TEC-MA-10001752,Technology,Machines,"Konica Printer, Durable",1607.76,6,0.0,482.22,286.74,High,2
2378,MX-2012-111178,2012-05-04,2012-05-09,Standard Class,AG-10900,Arthur Gainer,Consumer,Mexico City,Distrito Federal,Mexico,,LATAM,North,OFF-AP-10001106,Office Supplies,Appliances,"Hamilton Beach Stove, White",3242.88,9,0.0,324.18,279.53,Medium,5
30581,IN-2012-80391,2012-05-07,2012-05-10,First Class,BC-11125,Becky Castell,Home Office,Whangarei,Northland,New Zealand,,APAC,Oceania,TEC-CO-10002122,Technology,Copiers,"Hewlett Fax Machine, Digital",1917.36,6,0.0,747.72,275.57,Medium,3
9316,MX-2012-167892,2012-05-23,2012-05-25,First Class,DG-13300,Deirdre Greer,Corporate,Mexico City,Distrito Federal,Mexico,,LATAM,North,OFF-AP-10004031,Office Supplies,Appliances,"Hamilton Beach Microwave, White",935.5,5,0.0,168.3,264.43,Medium,2
