Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime,Order_DayOfWeek,DeliverySpeed
49463,TZ-2014-8190,2014-12-05,2014-12-07,Second Class,RH-9555,Ritsa Hightower,Consumer,Uvinza,Kigoma,Tanzania,,Africa,Africa,OFF-KIT-10004058,Office Supplies,Appliances,"KitchenAid Stove, White",3409.74,6,0.0,818.28,763.38,High,2,4,Fast
16653,IT-2014-4540740,2014-12-07,2014-12-08,First Class,DK-13090,Dave Kipp,Consumer,Seville,Andalusía,Spain,,EU,South,FUR-BO-10004999,Furniture,Bookcases,"Safco Classic Bookcase, Metal",2188.05,5,0.0,1050.15,593.91,High,1,6,Fast
24859,IN-2014-78900,2014-12-03,2014-12-07,Standard Class,JF-15190,Jamie Frazer,Consumer,Phnom Penh,Phnom Penh,Cambodia,,APAC,Southeast Asia,FUR-TA-10003078,Furniture,Tables,"Hon Training Table, Fully Assembled",2673.36,8,0.0,1069.2,432.57,High,4,2,Medium
36827,CA-2014-160885,2014-12-03,2014-12-07,Standard Class,JK-16090,Juliana Krohn,Consumer,Omaha,Nebraska,United States,68104.0,US,Central,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,2479.96,4,0.0,743.988,312.14,High,4,2,Medium
7903,MX-2014-107181,2014-12-02,2014-12-06,Second Class,MC-17635,Matthew Clasen,Corporate,Santa Cruz de Barahona,Barahona,Dominican Republic,,LATAM,Caribbean,TEC-AC-10000203,Technology,Accessories,"SanDisk Router, Bluetooth",1914.08,14,0.2,669.76,258.96,Medium,4,1,Medium
40585,US-2014-165456,2014-12-01,2014-12-04,First Class,TB-21625,Trudy Brown,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,1079.316,6,0.3,-15.4188,258.42,Critical,3,0,Fast
41024,CA-2014-167395,2014-12-03,2014-12-05,First Class,KM-16720,Kunst Miller,Consumer,Lowell,Massachusetts,United States,1852.0,US,East,TEC-PH-10004977,Technology,Phones,GE 30524EE4,979.95,5,0.0,284.1855,240.88,Critical,2,2,Fast
31211,IN-2014-80559,2014-12-04,2014-12-08,Standard Class,PS-18970,Paul Stevenson,Home Office,Hobart,Tasmania,Australia,,APAC,Oceania,FUR-TA-10002650,Furniture,Tables,"Hon Wood Table, with Bottom Storage",2125.32,4,0.0,148.68,234.67,Medium,4,3,Medium
37567,CA-2014-102379,2014-12-03,2014-12-07,Standard Class,BB-11545,Brenda Bowman,Corporate,Oakland,California,United States,94601.0,US,West,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1159.056,9,0.2,43.4646,217.38,High,4,2,Medium
4203,US-2014-122420,2014-12-04,2014-12-07,Second Class,SC-20575,Sonia Cooley,Consumer,Torreón,Coahuila,Mexico,,LATAM,North,FUR-TA-10001572,Furniture,Tables,"Hon Wood Table, Rectangular",1410.4,5,0.2,-88.2,215.13,Critical,3,3,Fast
7961,US-2014-143014,2014-12-01,2014-12-04,First Class,TB-21520,Tracy Blumstein,Consumer,San Luis,San Luis,Argentina,,LATAM,South,FUR-CH-10000891,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",947.22,5,0.4,-236.88,197.18,Medium,3,0,Fast
