Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime,Order_DayOfWeek,DeliverySpeed
25438,IN-2014-51950,2014-05-16,2014-05-18,Second Class,JH-15820,John Huston,Consumer,Melbourne,Victoria,Australia,,APAC,Oceania,TEC-PH-10002683,Technology,Phones,"Apple Smart Phone, Cordless",2863.35,5,0.1,858.9,581.88,Critical,2,4,Fast
31138,ID-2014-80657,2014-05-16,2014-05-18,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Manukau City,Auckland,New Zealand,,APAC,Oceania,OFF-AP-10004350,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",1900.584,6,0.4,-348.516,360.04,High,2,4,Fast
11549,ES-2014-4856325,2014-05-16,2014-05-19,First Class,VM-21685,Valerie Mitchum,Home Office,Marseille,Provence-Alpes-Côte d'Azur,France,,EU,Central,FUR-BO-10000120,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",1189.242,9,0.1,250.992,334.23,High,3,4,Fast
32111,CA-2014-143686,2014-05-15,2014-05-15,Same Day,PJ-19015,Pauline Johnson,Consumer,Santa Ana,California,United States,92704.0,US,West,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,7,0.0,601.9699,309.52,High,0,3,
4570,MX-2014-123512,2014-05-15,2014-05-19,Standard Class,AH-10075,Adam Hart,Corporate,Azcapotzalco,Distrito Federal,Mexico,,LATAM,North,OFF-AP-10002317,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",2003.52,6,0.0,861.48,302.48,High,4,3,Medium
4684,MX-2014-169313,2014-05-13,2014-05-17,Standard Class,JM-15865,John Murray,Consumer,Zapopan,Jalisco,Mexico,,LATAM,North,FUR-CH-10001588,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1715.056,7,0.2,300.076,288.1,High,4,1,Medium
25862,IN-2014-47806,2014-05-17,2014-05-22,Second Class,DO-13435,Denny Ordway,Consumer,Srinagar,Jammu and Kashmir,India,,APAC,Central Asia,FUR-TA-10001360,Furniture,Tables,"Bevis Round Table, Rectangular",3094.56,6,0.0,1423.44,227.67,Medium,5,5,Medium
62,MX-2014-116337,2014-05-16,2014-05-16,Same Day,MG-18205,Mitch Gastineau,Corporate,Lençóis Paulista,São Paulo,Brazil,,LATAM,South,FUR-BO-10000624,Furniture,Bookcases,"Safco Classic Bookcase, Metal",875.22,3,0.0,139.98,220.77,High,0,4,
29434,IN-2014-50669,2014-05-15,2014-05-17,Second Class,BS-11590,Brendan Sweed,Corporate,Takasaki,Gunma,Japan,,APAC,North Asia,TEC-PH-10002806,Technology,Phones,"Apple Audio Dock, VoIP",1001.88,6,0.0,230.4,208.13,Critical,2,3,Fast
47281,RS-2014-1940,2014-05-15,2014-05-20,Standard Class,PV-8985,Paul Van Hugh,Home Office,Makhachkala,Dagestan,Russia,,EMEA,EMEA,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",1224.9,6,0.0,318.42,170.85,High,5,3,Medium
37704,CA-2014-161774,2014-05-15,2014-05-16,First Class,GT-14710,Greg Tran,Consumer,Houston,Texas,United States,77041.0,US,Central,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,899.43,5,0.3,-12.849,149.73,High,1,3,Fast
25863,IN-2014-47806,2014-05-17,2014-05-22,Second Class,DO-13435,Denny Ordway,Consumer,Srinagar,Jammu and Kashmir,India,,APAC,Central Asia,OFF-AP-10001931,Office Supplies,Appliances,"Cuisinart Stove, Red",2153.16,4,0.0,861.24,149.14,Medium,5,5,Medium
18803,ES-2014-3736084,2014-05-16,2014-05-21,Standard Class,RD-19480,Rick Duston,Consumer,Oberhausen,North Rhine-Westphalia,Germany,,EU,Central,OFF-AP-10000509,Office Supplies,Appliances,"Hoover Refrigerator, Black",2365.605,5,0.1,551.955,143.81,Medium,5,4,Medium
47280,RS-2014-1940,2014-05-15,2014-05-20,Standard Class,PV-8985,Paul Van Hugh,Home Office,Makhachkala,Dagestan,Russia,,EMEA,EMEA,FUR-NOV-10002655,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",1001.7,6,0.0,80.1,122.18,High,5,3,Medium
19910,ES-2014-5925548,2014-05-16,2014-05-21,Standard Class,AA-10480,Andrew Allen,Consumer,Bergen,Hordaland,Norway,,EU,North,TEC-MA-10000331,Technology,Machines,"Okidata Printer, White",1601.46,6,0.0,15.84,107.66,Medium,5,4,Medium
47279,RS-2014-1940,2014-05-15,2014-05-20,Standard Class,PV-8985,Paul Van Hugh,Home Office,Makhachkala,Dagestan,Russia,,EMEA,EMEA,FUR-SAU-10003933,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",877.02,2,0.0,394.62,85.18,High,5,3,Medium
43450,IV-2014-5410,2014-05-16,2014-05-21,Standard Class,BP-1050,Barry Pond,Corporate,Abidjan,Lagunes,Cote d'Ivoire,,Africa,Africa,TEC-CAN-10004556,Technology,Copiers,"Canon Fax and Copier, Laser",765.36,4,0.0,359.64,79.65,Medium,5,4,Medium
37759,US-2014-133361,2014-05-15,2014-05-18,First Class,AJ-10780,Anthony Jacobs,Corporate,Baltimore,Maryland,United States,21215.0,US,East,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",261.96,2,0.0,23.5764,77.11,High,3,3,Fast
19909,ES-2014-5925548,2014-05-16,2014-05-21,Standard Class,AA-10480,Andrew Allen,Consumer,Bergen,Hordaland,Norway,,EU,North,FUR-CH-10001802,Furniture,Chairs,"Novimex Rocking Chair, Black",1032.0,8,0.0,123.84,75.27,Medium,5,4,Medium
1829,MX-2014-130470,2014-05-16,2014-05-18,Second Class,EH-14125,Eugene Hildebrand,Home Office,Apopa,San Salvador,El Salvador,,LATAM,Central,TEC-CO-10001275,Technology,Copiers,"Brother Fax and Copier, Digital",890.15612,7,0.002,131.91612,74.39,Medium,2,4,Fast
35945,CA-2014-129357,2014-05-15,2014-05-20,Standard Class,KB-16585,Ken Black,Corporate,Seattle,Washington,United States,98103.0,US,West,OFF-PA-10003228,Office Supplies,Paper,Xerox 1917,440.19,9,0.0,206.8893,73.29,High,5,3,Medium
18312,ES-2014-1872792,2014-05-17,2014-05-18,First Class,RH-19555,Ritsa Hightower,Consumer,Le Havre,Upper Normandy,France,,EU,Central,TEC-PH-10002456,Technology,Phones,"Cisco Speaker Phone, Cordless",480.522,4,0.15,-28.278,71.07,Medium,1,5,Fast
47200,PL-2014-1380,2014-05-13,2014-05-17,Standard Class,RR-9315,Ralph Ritter,Consumer,Opole,Opole,Poland,,EMEA,EMEA,FUR-HAR-10002328,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",1421.52,8,0.0,468.96,67.38,Medium,4,1,Medium
