Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime,Order_DayOfWeek,DeliverySpeed
27230,IN-2011-76989,2011-07-19,2011-07-20,First Class,BG-11740,Bruce Geld,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,APAC,Southeast Asia,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",2555.64,4,0.0,664.44,410.22,High,1,1,Fast
19014,ES-2011-1656997,2011-07-22,2011-07-24,Second Class,NZ-18565,Nick Zandusky,Home Office,Hastings,England,United Kingdom,,EU,North,TEC-CO-10003523,Technology,Copiers,"Brother Wireless Fax, High-Speed",1508.04,4,0.0,331.68,192.96,Medium,2,4,Fast
2535,MX-2011-150112,2011-07-20,2011-07-20,Same Day,BD-11725,Bruce Degenhardt,Consumer,Mixco,Guatemala,Guatemala,,LATAM,Central,TEC-AC-10003955,Technology,Accessories,"Memorex Router, Erganomic",976.08,6,0.0,448.92,174.68,Medium,0,2,
25045,IN-2011-42619,2011-07-20,2011-07-22,Second Class,BS-11755,Bruce Stewart,Consumer,Cairns,Queensland,Australia,,APAC,Oceania,FUR-BO-10001196,Furniture,Bookcases,"Bush Library with Doors, Pine",1535.814,7,0.4,-409.626,156.97,Medium,2,2,Fast
50041,SG-2011-9120,2011-07-18,2011-07-22,Standard Class,EB-3975,Erica Bern,Corporate,Dakar,Dakar,Senegal,,Africa,Africa,OFF-FEL-10004665,Office Supplies,Storage,"Fellowes Lockers, Blue",1658.64,8,0.0,431.04,152.16,Medium,4,0,Medium
50253,EG-2011-7590,2011-07-20,2011-07-22,Second Class,IG-5085,Ivan Gibson,Consumer,Alexandria,Al Iskandariyah,Egypt,,Africa,Africa,TEC-MOT-10000939,Technology,Phones,"Motorola Speaker Phone, Cordless",530.52,4,0.0,26.52,145.11,Critical,2,2,Fast
8265,MX-2011-158792,2011-07-21,2011-07-24,First Class,TR-21325,Toby Ritter,Consumer,José Bonifácio,São Paulo,Brazil,,LATAM,South,TEC-CO-10004904,Technology,Copiers,"Sharp Fax Machine, Digital",392.93256,2,0.002,7.05256,141.21,Critical,3,3,Fast
21272,IN-2011-47589,2011-07-20,2011-07-22,First Class,TH-21550,Tracy Hopkins,Home Office,Melbourne,Victoria,Australia,,APAC,Oceania,TEC-CO-10001157,Technology,Copiers,"Hewlett Personal Copier, Color",262.278,2,0.1,101.958,108.82,Critical,2,2,Fast
14184,ES-2011-4314290,2011-07-18,2011-07-23,Standard Class,SR-20740,Steven Roelle,Home Office,Derby,England,United Kingdom,,EU,North,TEC-MA-10003927,Technology,Machines,"StarTech Inkjet, Wireless",1207.08,4,0.0,36.12,100.36,Medium,5,0,Medium
27231,IN-2011-76989,2011-07-19,2011-07-20,First Class,BG-11740,Bruce Geld,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,APAC,Southeast Asia,TEC-MA-10002389,Technology,Machines,"StarTech Receipt Printer, White",980.91,9,0.0,215.73,95.42,High,1,1,Fast
38464,CA-2011-117464,2011-07-22,2011-07-24,Second Class,NP-18325,Naresj Patel,Consumer,San Francisco,California,United States,94122.0,US,West,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,717.72,3,0.2,71.772,94.34,High,2,4,Fast
31672,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Arthur Gainer,Consumer,Tucson,Arizona,United States,85705.0,US,West,TEC-AC-10002076,Technology,Accessories,Microsoft Natural Keyboard Elite,479.04,10,0.2,-29.94,88.46,High,4,5,Medium
34374,CA-2011-143903,2011-07-20,2011-07-24,Standard Class,KM-16375,Katherine Murray,Home Office,Dallas,Texas,United States,75217.0,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,981.372,2,0.3,-140.196,85.32,High,4,2,Medium
31670,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Arthur Gainer,Consumer,Tucson,Arizona,United States,85705.0,US,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,8,0.2,179.1888,83.9,High,4,5,Medium
18794,IT-2011-2226067,2011-07-20,2011-07-22,Second Class,AG-10330,Alex Grayson,Consumer,Aylesbury,England,United Kingdom,,EU,North,OFF-ST-10002706,Office Supplies,Storage,"Fellowes File Cart, Wire Frame",272.76,2,0.0,57.24,80.24,Critical,2,2,Fast
42662,CA-2011-450,2011-07-21,2011-07-26,Standard Class,EB-3840,Ellis Ballard,Corporate,Vancouver,British Columbia,Canada,,Canada,Canada,OFF-HAM-10003663,Office Supplies,Appliances,"Hamilton Beach Stove, Black",1083.54,2,0.0,400.86,76.32,Medium,5,3,Medium
50251,EG-2011-7590,2011-07-20,2011-07-22,Second Class,IG-5085,Ivan Gibson,Consumer,Alexandria,Al Iskandariyah,Egypt,,Africa,Africa,FUR-HAR-10002632,Furniture,Chairs,"Harbour Creations Chairmat, Adjustable",297.96,4,0.0,113.16,74.17,Critical,2,2,Fast
39320,CA-2011-129189,2011-07-21,2011-07-25,Standard Class,HM-14860,Harry Marie,Corporate,Dallas,Texas,United States,75217.0,US,Central,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,657.93,5,0.3,-93.99,65.18,Medium,4,3,Medium
3962,US-2011-115875,2011-07-18,2011-07-23,Standard Class,JG-15115,Jack Garza,Consumer,Mexico City,Distrito Federal,Mexico,,LATAM,North,FUR-BO-10000502,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",701.616,3,0.2,-35.124,61.84,Medium,5,0,Medium
8266,MX-2011-158792,2011-07-21,2011-07-24,First Class,TR-21325,Toby Ritter,Consumer,José Bonifácio,São Paulo,Brazil,,LATAM,South,TEC-AC-10001410,Technology,Accessories,"Memorex Memory Card, Bluetooth",272.72,4,0.0,73.6,57.71,Critical,3,3,Fast
6225,US-2011-144729,2011-07-21,2011-07-24,First Class,SS-20140,Saphhira Shifley,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,TEC-CO-10003142,Technology,Copiers,"Hewlett Fax and Copier, Laser",307.56336,4,0.402,-114.19664,54.08,Medium,3,3,Fast
40718,CA-2011-145254,2011-07-23,2011-07-27,Standard Class,NC-18535,Nick Crebassa,Corporate,San Francisco,California,United States,94122.0,US,West,TEC-PH-10000441,Technology,Phones,VTech DS6151,604.752,6,0.2,60.4752,52.86,High,4,5,Medium
8263,MX-2011-158792,2011-07-21,2011-07-24,First Class,TR-21325,Toby Ritter,Consumer,José Bonifácio,São Paulo,Brazil,,LATAM,South,OFF-AR-10001053,Office Supplies,Art,"Boston Pencil Sharpener, Easy-Erase",140.98,7,0.0,2.8,51.18,Critical,3,3,Fast
21273,IN-2011-47589,2011-07-20,2011-07-22,First Class,TH-21550,Tracy Hopkins,Home Office,Melbourne,Victoria,Australia,,APAC,Oceania,OFF-ST-10001707,Office Supplies,Storage,"Smead Shelving, Single Width",176.256,4,0.1,-11.784,49.43,Critical,2,2,Fast
171,MX-2011-104626,2011-07-21,2011-07-26,Standard Class,EB-14170,Evan Bailliet,Consumer,Managua,Managua,Nicaragua,,LATAM,Central,FUR-BO-10003463,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",650.88,8,0.0,32.48,49.41,Medium,5,3,Medium
6497,MX-2011-121524,2011-07-23,2011-07-26,First Class,GM-14500,Gene McClure,Consumer,Rolândia,Parana,Brazil,,LATAM,South,OFF-PA-10002464,Office Supplies,Paper,"Green Bar Computer Printout Paper, Multicolor",124.68,6,0.0,9.96,47.82,Critical,3,5,Fast
6498,MX-2011-121524,2011-07-23,2011-07-26,First Class,GM-14500,Gene McClure,Consumer,Rolândia,Parana,Brazil,,LATAM,South,OFF-BI-10003373,Office Supplies,Binders,"Wilson Jones Binding Machine, Economy",130.56,4,0.0,36.48,40.0,Critical,3,5,Fast
33168,CA-2011-116932,2011-07-21,2011-07-25,Standard Class,ME-18010,Michelle Ellison,Corporate,San Francisco,California,United States,94122.0,US,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,2,0.2,50.098,39.84,Medium,4,3,Medium
14839,ES-2011-1647855,2011-07-18,2011-07-24,Standard Class,DB-13615,Doug Bickford,Consumer,Landerneau,Brittany,France,,EU,Central,FUR-BO-10004547,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",332.019,3,0.1,55.269,37.06,Low,6,0,Medium
42661,CA-2011-450,2011-07-21,2011-07-26,Standard Class,EB-3840,Ellis Ballard,Corporate,Vancouver,British Columbia,Canada,,Canada,Canada,TEC-CAN-10001981,Technology,Copiers,"Canon Ink, High-Speed",290.7,2,0.0,93.0,34.56,Medium,5,3,Medium
13225,ES-2011-2410472,2011-07-20,2011-07-20,Same Day,TH-21235,Tiffany House,Corporate,Vantaa,Uusimaa,Finland,,EU,North,OFF-SU-10001879,Office Supplies,Supplies,"Acme Trimmer, High Speed",178.32,4,0.0,51.6,33.35,High,0,2,
50250,EG-2011-7590,2011-07-20,2011-07-22,Second Class,IG-5085,Ivan Gibson,Consumer,Alexandria,Al Iskandariyah,Egypt,,Africa,Africa,OFF-SME-10001652,Office Supplies,Storage,"Smead Trays, Wire Frame",190.2,4,0.0,24.72,32.58,Critical,2,2,Fast
34372,CA-2011-143903,2011-07-20,2011-07-24,Standard Class,KM-16375,Katherine Murray,Home Office,Dallas,Texas,United States,75217.0,US,Central,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,342.864,3,0.2,38.5722,31.88,High,4,2,Medium
24567,IN-2011-68526,2011-07-18,2011-07-23,Standard Class,MG-17680,Maureen Gastineau,Home Office,Perth,Western Australia,Australia,,APAC,Oceania,OFF-AR-10002458,Office Supplies,Art,"Stanley Canvas, Easy-Erase",223.83,5,0.1,67.08,31.55,High,5,0,Medium
33399,CA-2011-123295,2011-07-18,2011-07-18,Same Day,AH-10120,Adrian Hane,Home Office,Tucson,Arizona,United States,85705.0,US,West,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,259.136,4,0.2,-25.9136,31.15,High,0,0,
34650,US-2011-150434,2011-07-19,2011-07-24,Standard Class,CA-12310,Christine Abelman,Corporate,Bristol,Connecticut,United States,6010.0,US,East,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,359.98,2,0.0,93.5948,31.02,Medium,5,1,Medium
8264,MX-2011-158792,2011-07-21,2011-07-24,First Class,TR-21325,Toby Ritter,Consumer,José Bonifácio,São Paulo,Brazil,,LATAM,South,OFF-PA-10003517,Office Supplies,Paper,"Enermax Note Cards, Premium",95.0,5,0.0,25.6,29.15,Critical,3,3,Fast
38465,CA-2011-117464,2011-07-22,2011-07-24,Second Class,NP-18325,Naresj Patel,Consumer,San Francisco,California,United States,94122.0,US,West,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,236.5,10,0.0,68.585,28.62,High,2,4,Fast
10165,US-2011-150406,2011-07-21,2011-07-26,Standard Class,EB-14170,Evan Bailliet,Consumer,Barreirinhas,Maranhão,Brazil,,LATAM,South,FUR-BO-10000517,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",260.352,8,0.6,-358.048,28.07,High,5,3,Medium
40720,CA-2011-145254,2011-07-23,2011-07-27,Standard Class,NC-18535,Nick Crebassa,Corporate,San Francisco,California,United States,94122.0,US,West,TEC-PH-10004531,Technology,Phones,AT&T CL2909,302.376,3,0.2,37.797,27.37,High,4,5,Medium
18790,IT-2011-2226067,2011-07-20,2011-07-22,Second Class,AG-10330,Alex Grayson,Consumer,Aylesbury,England,United Kingdom,,EU,North,FUR-FU-10000361,Furniture,Furnishings,"Deflect-O Photo Frame, Erganomic",106.092,3,0.3,-22.788,27.08,Critical,2,2,Fast
45008,KZ-2011-7910,2011-07-20,2011-07-20,Same Day,MM-8055,Michelle Moray,Consumer,Pavlodar,Pavlodar,Kazakhstan,,EMEA,EMEA,TEC-HEW-10002501,Technology,Copiers,"Hewlett Fax Machine, Laser",383.904,4,0.7,-831.816,25.82,Medium,0,2,
31780,CA-2011-127691,2011-07-22,2011-07-27,Standard Class,EM-14065,Erin Mull,Consumer,New York City,New York,United States,10024.0,US,East,TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,159.98,2,0.0,57.5928,25.45,High,5,4,Medium
28454,IN-2011-44369,2011-07-20,2011-07-23,First Class,CD-12790,Cynthia Delaney,Home Office,Shenyang,Liaoning,China,,APAC,North Asia,OFF-EN-10002140,Office Supplies,Envelopes,"Jiffy Business Envelopes, Recycled",165.24,9,0.0,52.65,25.28,Medium,3,2,Fast
38707,CA-2011-103058,2011-07-23,2011-07-24,First Class,AG-10270,Alejandro Grove,Consumer,New York City,New York,United States,10011.0,US,East,TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,99.98,2,0.0,7.9984,22.93,Critical,1,5,Fast
37265,CA-2011-141726,2011-07-20,2011-07-22,First Class,CC-12145,Charles Crestani,Consumer,San Diego,California,United States,92105.0,US,West,OFF-PA-10000418,Office Supplies,Paper,Xerox 189,104.85,1,0.0,50.328,22.92,Medium,2,2,Fast
38525,CA-2011-157546,2011-07-20,2011-07-22,First Class,RD-19720,Roger Demir,Consumer,San Francisco,California,United States,94122.0,US,West,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,89.712,6,0.2,30.2778,22.9,High,2,2,Fast
19484,IT-2011-5521557,2011-07-21,2011-07-25,Second Class,DL-12865,Dan Lawera,Consumer,Dublin,Dublin,Ireland,,EU,North,OFF-BI-10004446,Office Supplies,Binders,"Acco Binding Machine, Economy",127.725,5,0.5,-53.775,21.04,High,4,3,Medium
33169,CA-2011-116932,2011-07-21,2011-07-25,Standard Class,ME-18010,Michelle Ellison,Corporate,San Francisco,California,United States,94122.0,US,West,FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",272.848,1,0.2,27.2848,20.83,Medium,4,3,Medium
18792,IT-2011-2226067,2011-07-20,2011-07-22,Second Class,AG-10330,Alex Grayson,Consumer,Aylesbury,England,United Kingdom,,EU,North,OFF-EN-10000673,Office Supplies,Envelopes,"Cameo Business Envelopes, Recycled",78.75,5,0.0,35.4,19.53,Critical,2,2,Fast
6226,US-2011-144729,2011-07-21,2011-07-24,First Class,SS-20140,Saphhira Shifley,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,TEC-PH-10004287,Technology,Phones,"Cisco Headset, Cordless",146.064,4,0.4,-68.176,18.6,Medium,3,3,Fast
